Name,Album,Artist,Spotify Link
Excuse Me,Kanthaswamy (Original Motion Picture Soundtrack),Devi Sri Prasad,https://open.spotify.com/track/4lGIy8N9aPgfUf04oFH2GS
Mambo Maamiya,Kanthaswamy (Original Motion Picture Soundtrack),Devi Sri Prasad,https://open.spotify.com/track/3BAfp34TibXB9bxHe4rsff
Idhellan Dupe,Kanthaswamy (Original Motion Picture Soundtrack),Devi Sri Prasad,https://open.spotify.com/track/2DhQjRRHlsLnxupIEsQhn5
Allegro,Kanthaswamy (Original Motion Picture Soundtrack),Devi Sri Prasad,https://open.spotify.com/track/6lINfLttHSl6Q0uGyCFVsw
Meow Meow,Kanthaswamy (Original Motion Picture Soundtrack),Devi Sri Prasad,https://open.spotify.com/track/77kgnVe6XPwiZPIA9cLMGx
En Peeru Meenakumari,Kanthaswamy (Original Motion Picture Soundtrack),Devi Sri Prasad,https://open.spotify.com/track/2ylshHMbSFJ2CavXuc8rtN
Poongatre Poongatre,Paiya (Original Motion Picture Soundtrack),Yuvan Shankar Raja,https://open.spotify.com/track/2cbRVHdH6ab9sPsnQjFRx6
Thuli Thuli,Paiya (Original Motion Picture Soundtrack),Yuvan Shankar Raja,https://open.spotify.com/track/2uqXfUERVBLa1heEoUTBlO
Bang Bang Bang,Anjaan (Original Motion Picture Soundtrack),Yuvan Shankar Raja,https://open.spotify.com/track/3ZVKzrWt3efdPVLmiYdr6M
Ussumu Laresey,Uthama Puthiran (Original Motion Picture Soundtrack),Vijay Antony,https://open.spotify.com/track/2qolr6PKNLXvjp4JTtglSf
Mascara,Salim,Various Artists,https://open.spotify.com/track/3HRaPAkrok0SwsmvtQAQ8U
Naakka Mukka,Kadhalil Vizhundhen,Vijay Antony,https://open.spotify.com/track/6aUstpsARWZwKY7x2wKvtI
Sakkarakatti,Meesaya Murukku (Original Motion Picture Soundtrack),Hiphop Tamizha,https://open.spotify.com/track/1PaxAUxLEVpi75l0nDtwu1
Kuru Kuru,Vathikuchi,Various Artists,https://open.spotify.com/track/5CfFp0Hdpj4m6DLAQWMA5F
Pachchai Vanna,Vai Raja Vai (Original Motion Picture Soundtrack),Yuvan Shankar Raja,https://open.spotify.com/track/4HBDcyTmazbfvNchzmKTC1
Hi Sonna Pothum,Comali (Original Motion Picture Soundtrack),Hiphop Tamizha,https://open.spotify.com/track/2YRVd8cvSqT2Zta5TGTPRF
Adiyae Azhagae,Oru Naal Koothu (Original Motion Picture Soundtrack),Justin Prabhakaran,https://open.spotify.com/track/1nIMRpxCoLzdwvlWG2o7zK
